Date,Stock,Type,Medium,Amount,Charge,Remark,Reference
2026-01-08,,Deposit,CIPS,10824.21,8.0,My First Collateral For TMS,568832045
2026-01-18,ULHC*10,Buy,Collateral,-4544.89,0.0,Buy ULHC For Sideway Scalping,TMS 2026011805015368
2026-01-20,TPC*10,Buy,Collateral,-3759.95,0.0,Buy TPC With Long Term Trend,TMS 2026012005031079
2026-01-29,[KKHC+NHPC]*20,Buy,Collateral,-9501.25,0.0,Circuit Chase,TMS 2026012005031079
2026-01-29,,Deposit,CIPS,7000.0,8.0,Depo For NHPC KKHC,587404287
2026-01-29,TPC*10,Sell,Collateral,3820.59,0.0,Sold TPC at Just Above BE,TMS 2026012905016435
2026-02-04,,Withdraw,Nabil,-3820.59,10.0,TPC Capital Withdraw,
2026-02-04,ULHC*10,Buy,Collateral,-5114.01,0.0,TMS 58 Continous Accumulation,
2026-02-04,,Deposit,Global,1293.42,0.0,Payment For ULHC,WWKXGFPTX19
2026-02-05,KKHC*20,Sell,Collateral,4916.4,0.0,Sell KKHC Near BE Without Realizing Circuit {Scary Cat Effect},
2026-02-09,NHPC * 10,Sell,Collateral,2177.67,0.0,Partial Sell Near BE to Get Capital Back,
2026-02-10,SGHC * 10,Buy,Collateral,-4372.24,0.0,TMS 58 Accumulation Trap,
2026-02-13,,Deposit,Global,1100.0,0.0,Due Clearance,IOAQPW0136K
